Rk,Team,Date,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Match Report
1,Tottenham,5/28/2023,@,Leeds United,eng Premier League,W 4-1,4,1,3,48,4,0,0,0,Match Report
2,Tottenham,5/20/2023,,Brentford,eng Premier League,L 1-3,1,3,-2,61,1,0,0,0,Match Report
3,Tottenham,5/13/2023,@,Aston Villa,eng Premier League,L 1-2,1,2,-1,52,0,1,1,0,Match Report
4,Tottenham,5/6/2023,,Crystal Palace,eng Premier League,W 1-0,1,0,1,56,1,0,0,0,Match Report
5,Tottenham,4/30/2023,@,Liverpool,eng Premier League,L 3-4,3,4,-1,33,3,0,0,0,Match Report
6,Tottenham,4/27/2023,,Manchester Utd,eng Premier League,D 2-2,2,2,0,40,2,0,0,0,Match Report
7,Tottenham,4/23/2023,@,Newcastle Utd,eng Premier League,L 1-6,1,6,-5,44,1,0,0,0,Match Report
8,Tottenham,4/15/2023,,Bournemouth,eng Premier League,L 2-3,2,3,-1,58,2,0,0,0,Match Report
9,Tottenham,4/8/2023,,Brighton,eng Premier League,W 2-1,2,1,1,35,2,0,0,0,Match Report
10,Tottenham,4/3/2023,@,Everton,eng Premier League,D 1-1,1,1,0,61,0,1,1,0,Match Report
11,Tottenham,3/18/2023,@,Southampton,eng Premier League,D 3-3,3,3,0,49,3,0,0,0,Match Report
12,Tottenham,3/11/2023,,Nott'ham Forest,eng Premier League,W 3-1,3,1,2,55,2,1,1,0,Match Report
13,Tottenham,3/8/2023,,Milan,Champions League,D 0-0,0,0,0,54,0,0,0,0,Match Report
14,Tottenham,3/4/2023,@,Wolves,eng Premier League,L 0-1,0,1,-1,54,0,0,0,0,Match Report
15,Tottenham,3/1/2023,@,Sheffield Utd,eng FA Cup,L 0-1,0,1,-1,53,0,0,0,0,Match Report
16,Tottenham,2/26/2023,,Chelsea,eng Premier League,W 2-0,2,0,2,41,2,0,0,0,Match Report
17,Tottenham,2/19/2023,,West Ham,eng Premier League,W 2-0,2,0,2,57,2,0,0,0,Match Report
18,Tottenham,2/14/2023,@,Milan,Champions League,L 0-1,0,1,-1,53,0,0,0,0,Match Report
19,Tottenham,2/11/2023,@,Leicester City,eng Premier League,L 1-4,1,4,-3,51,1,0,0,0,Match Report
20,Tottenham,2/5/2023,,Manchester City,eng Premier League,W 1-0,1,0,1,36,1,0,0,0,Match Report
21,Tottenham,1/28/2023,@,Preston,eng FA Cup,W 3-0,3,0,3,69,3,0,0,0,Match Report
22,Tottenham,1/23/2023,@,Fulham,eng Premier League,W 1-0,1,0,1,46,1,0,0,0,Match Report
23,Tottenham,1/19/2023,@,Manchester City,eng Premier League,L 2-4,2,4,-2,42,2,0,0,0,Match Report
24,Tottenham,1/15/2023,,Arsenal,eng Premier League,L 0-2,0,2,-2,51,0,0,0,0,Match Report
25,Tottenham,1/7/2023,,Portsmouth,eng FA Cup,W 1-0,1,0,1,72,1,0,0,0,Match Report
26,Tottenham,1/4/2023,@,Crystal Palace,eng Premier League,W 4-0,4,0,4,53,4,0,0,0,Match Report
27,Tottenham,1/1/2023,,Aston Villa,eng Premier League,L 0-2,0,2,-2,59,0,0,0,0,Match Report
28,Tottenham,12/26/2022,@,Brentford,eng Premier League,D 2-2,2,2,0,61,2,0,0,0,Match Report
29,Tottenham,11/12/2022,,Leeds United,eng Premier League,W 4-3,4,3,1,55,4,0,0,0,Match Report
30,Tottenham,11/9/2022,@,Nott'ham Forest,eng EFL Cup,L 0-2,0,2,-2,59,0,0,0,0,Match Report
31,Tottenham,11/6/2022,,Liverpool,eng Premier League,L 1-2,1,2,-1,47,1,0,0,0,Match Report
32,Tottenham,11/1/2022,@,Marseille,Champions League,W 2-1,2,1,1,36,2,0,0,0,Match Report
33,Tottenham,10/29/2022,@,Bournemouth,eng Premier League,W 3-2,3,2,1,69,3,0,0,0,Match Report
34,Tottenham,10/26/2022,,Sporting CP,Champions League,D 1-1,1,1,0,59,1,0,0,0,Match Report
35,Tottenham,10/23/2022,,Newcastle Utd,eng Premier League,L 1-2,1,2,-1,53,1,0,0,0,Match Report
36,Tottenham,10/19/2022,@,Manchester Utd,eng Premier League,L 0-2,0,2,-2,48,0,0,0,0,Match Report
37,Tottenham,10/15/2022,,Everton,eng Premier League,W 2-0,2,0,2,62,1,1,1,0,Match Report
38,Tottenham,10/12/2022,,Eint Frankfurt,Champions League,W 3-2,3,2,1,51,2,1,2,1,Match Report
39,Tottenham,10/8/2022,@,Brighton,eng Premier League,W 1-0,1,0,1,41,1,0,0,0,Match Report
40,Tottenham,10/4/2022,@,Eint Frankfurt,Champions League,D 0-0,0,0,0,56,0,0,0,0,Match Report
41,Tottenham,10/1/2022,@,Arsenal,eng Premier League,L 1-3,1,3,-2,36,0,1,1,0,Match Report
42,Tottenham,9/17/2022,,Leicester City,eng Premier League,W 6-2,6,2,4,44,6,0,0,0,Match Report
43,Tottenham,9/13/2022,@,Sporting CP,Champions League,L 0-2,0,2,-2,46,0,0,0,0,Match Report
44,Tottenham,9/7/2022,,Marseille,Champions League,W 2-0,2,0,2,50,2,0,0,0,Match Report
45,Tottenham,9/3/2022,,Fulham,eng Premier League,W 2-1,2,1,1,52,2,0,0,0,Match Report
46,Tottenham,8/31/2022,@,West Ham,eng Premier League,D 1-1,1,1,0,61,0,0,0,0,Match Report
47,Tottenham,8/28/2022,@,Nott'ham Forest,eng Premier League,W 2-0,2,0,2,45,2,0,1,1,Match Report
48,Tottenham,8/20/2022,,Wolves,eng Premier League,W 1-0,1,0,1,50,1,0,0,0,Match Report
49,Tottenham,8/14/2022,@,Chelsea,eng Premier League,D 2-2,2,2,0,37,2,0,0,0,Match Report
50,Tottenham,8/6/2022,,Southampton,eng Premier League,W 4-1,4,1,3,58,3,0,0,0,Match Report
